id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_pe_base_typedoc,odoo_pe.pe_base_typedoc,model_pe_base_typedoc,base.group_user,1,1,1,1

access_country_via,res.country_via,model_res_country_via,base.group_user,1,1,1,1
access_country_via,res.country_via,model_res_country_via,base.group_user,1,1,1,1
access_country_zona,res.country_zona,model_res_country_zona,base.group_user,1,1,1,1
access_res_company_activitytype,res.company.activitytype,model_res_company_activitytype,base.group_user,1,1,1,1

access_account_existencecatalog,account.existencecatalog,model_account_existencecatalog,base.group_user,1,1,1,1
access_account_spot,odoo_pe.account.spot,model_account_spot,base.group_user,1,1,1,1
access_account_detraccion,odoo_pe.account.spot.detaccion,model_account_spot_detraccion,base.group_user,1,1,1,1
access_account_retencion,odoo_pe.account.spot.retencion,model_account_spot_retencion,base.group_user,1,1,1,1
access_account_percepcion,odoo_pe.account.spot.percepcion,model_account_spot_percepcion,base.group_user,1,1,1,1
access_payment_mode_type,odoo_pe.payment.mode.type,model_payment_mode_type,base.group_user,1,1,1,1

access_sale_typedocument,odoo_pe.sale.typedocument,model_sale_typedocument,base.group_user,1,1,1,1

access_hr_employee_educationlevel,odoo_pe.hr.employee.educationlevel,model_hr_employee_educationlevel,base.group_hr_user,1,1,1,1
access_hr_employee_situacion,odoo_pe.hr.employee.situacion,model_hr_employee_situacion,base.group_hr_user,1,1,1,1
access_hr_employee_relationship,odoo_pe.hr_employee_relationship,model_hr_employee_relationship,base.group_hr_user,1,1,1,1
access_hr_employee_vinculedoc,odoo_pe.hr_employee_vinculedoc,model_hr_employee_vinculedoc,base.group_hr_user,1,1,1,1
access_hr_employee_relatedperson,odoo_pe.hr_employee_relatedperson,model_hr_employee_relatedperson,base.group_hr_user,1,1,1,1

access_hr_contract_regimenpensionario,oddo_pe_contract.hr.contract.regimenpensionario.regimenpensionario,model_hr_contract_regimenpensionario,base.group_hr_user,1,1,1,1

access_hr_contract_typeemploye,oddo_pe_contract.hr_contract_typeemploye,model_hr_contract_typeemploye,base.group_hr_user,1,1,1,1
access_hr_contract_regimenpensionario,oddo_pe_contract.hr_contract_regimenpensionario,model_hr_contract_regimenpensionario,base.group_hr_user,1,1,1,1
access_hr_contract_types,oddo_pe_contract.hr_contract_types,model_hr_contract_types,base.group_hr_user,1,1,1,1
access_hr_contract_motivobaja,oddo_pe_contract.hr_contract_motivobaja,model_hr_contract_motivobaja,base.group_hr_user,1,1,1,1
access_hr_contract_movilidadformativa,oddo_pe_contract.hr_contract_movilidadformativa,model_hr_contract_movilidadformativa,base.group_hr_user,1,1,1,1
access_hr_contract_categoriaocupacional,oddo_pe_contract.hr_contract_categoriaocupacional,model_hr_contract_categoriaocupacional,base.group_hr_user,1,1,1,1
access_hr_contract_ocupacionalprivate,oddo_pe_contract.hr_contract_ocupacionalprivate,model_hr_contract_ocupacionalprivate,base.group_hr_user,1,1,1,1
access_hr_contract_suspentiontype,oddo_pe_contract.hr_contract_suspentiontype,model_hr_contract_suspentiontype,base.group_hr_user,1,1,1,1

access_hr_employee_ocupation,oddo_pe_contract.hr_employee_ocupation,model_hr_employee_ocupation,base.group_hr_user,1,1,1,1
